source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,minus_log10_p,GeneRatio,FoldEnrichment
GO:BP,GO:1901700,response to oxygen-containing compound,9.706272027795346e-46,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1632,188,90,20972,0.4787234042553192,0.05514705882352941,query_1,['GO:0042221'],45.012947541321275,0.4787234042553192,0.05514705882352941
GO:BP,GO:0042221,response to chemical,1.5728955962147775e-41,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,188,122,20972,0.648936170212766,0.0315816722754336,query_1,['GO:0050896'],40.80330010350043,0.648936170212766,0.0315816722754336
GO:BP,GO:0051239,regulation of multicellular organismal process,3.01890312021083e-40,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,188,107,20972,0.5691489361702128,0.0366062264796442,query_1,"['GO:0032501', 'GO:0050789']",39.520150823721835,0.5691489361702128,0.0366062264796442
GO:BP,GO:0032501,multicellular organismal process,5.110447959316524e-37,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,188,154,20972,0.8191489361702128,0.020989505247376312,query_1,['GO:0008150'],36.29154102985893,0.8191489361702128,0.020989505247376312
GO:BP,GO:0070887,cellular response to chemical stimulus,7.615188355647556e-35,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2199,188,89,20972,0.4734042553191489,0.04047294224647567,query_1,"['GO:0042221', 'GO:0051716']",34.11831935026534,0.4734042553191489,0.04047294224647567
GO:BP,GO:0065008,regulation of biological quality,1.2300109616688881e-34,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2963,188,101,20972,0.5372340425531915,0.03408707391157611,query_1,['GO:0065007'],33.910091018177596,0.5372340425531915,0.03408707391157611
GO:BP,GO:1901698,response to nitrogen compound,5.069046879328131e-34,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",941,188,62,20972,0.32978723404255317,0.06588735387885228,query_1,['GO:0042221'],33.295073692335606,0.32978723404255317,0.06588735387885228
GO:BP,GO:0007267,cell-cell signaling,3.0332044710839515e-33,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1316,188,70,20972,0.3723404255319149,0.05319148936170213,query_1,"['GO:0007154', 'GO:0023052']",32.51809831251481,0.3723404255319149,0.05319148936170213
GO:BP,GO:0009628,response to abiotic stimulus,5.065907127633081e-31,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1108,188,63,20972,0.3351063829787234,0.05685920577617329,query_1,['GO:0050896'],30.295342776315348,0.3351063829787234,0.05685920577617329
GO:BP,GO:1901701,cellular response to oxygen-containing compound,3.7921340563906895e-30,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1194,188,64,20972,0.3404255319148936,0.05360134003350084,query_1,"['GO:0070887', 'GO:1901700']",29.421116318242817,0.3404255319148936,0.05360134003350084
GO:BP,GO:0009605,response to external stimulus,2.648059808659951e-29,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,188,86,20972,0.4574468085106383,0.03543469303667079,query_1,['GO:0050896'],28.577072210215096,0.4574468085106383,0.03543469303667079
GO:BP,GO:0006950,response to stress,4.1917096112941666e-29,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,188,108,20972,0.574468085106383,0.02710843373493976,query_1,['GO:0050896'],28.377608811563654,0.574468085106383,0.02710843373493976
GO:BP,GO:0048731,system development,9.371331318810602e-29,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4023,188,108,20972,0.574468085106383,0.026845637583892617,query_1,"['GO:0007275', 'GO:0048856']",28.028198707581605,0.574468085106383,0.026845637583892617
GO:BP,GO:0007275,multicellular organism development,7.057625795895321e-28,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4690,188,115,20972,0.6117021276595744,0.024520255863539446,query_1,"['GO:0032501', 'GO:0048856']",27.151341372199635,0.6117021276595744,0.024520255863539446
GO:BP,GO:0050896,response to stimulus,8.57469394972774e-28,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,188,157,20972,0.8351063829787234,0.017346149596729643,query_1,['GO:0008150'],27.066781371963494,0.8351063829787234,0.017346149596729643
GO:BP,GO:0042592,homeostatic process,8.57469394972774e-28,True,"""Any biological process involved in the maintenance of an internal steady state. Homeostasis allows cells and organisms to maintain stable internal conditions despite varying external conditions."" [PMID:26265027]",1677,188,71,20972,0.3776595744680851,0.042337507453786526,query_1,['GO:0008150'],27.066781371963494,0.3776595744680851,0.042337507453786526
GO:BP,GO:0051240,positive regulation of multicellular organismal process,1.4200191846471414e-27,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1639,188,70,20972,0.3723404255319149,0.04270896888346553,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']",26.847705788201374,0.3723404255319149,0.04270896888346553
GO:BP,GO:0048518,positive regulation of biological process,3.465519603401103e-27,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,188,130,20972,0.6914893617021277,0.02113821138211382,query_1,"['GO:0008150', 'GO:0050789']",26.4602316401368,0.6914893617021277,0.02113821138211382
GO:BP,GO:0032879,regulation of localization,9.106246582193623e-27,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",1914,188,74,20972,0.39361702127659576,0.038662486938349006,query_1,"['GO:0050789', 'GO:0051179']",26.04066059388769,0.39361702127659576,0.038662486938349006
GO:BP,GO:0023052,signaling,2.0585817639753098e-26,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,188,133,20972,0.7074468085106383,0.020280573345532175,query_1,['GO:0050789'],25.686431878757293,0.7074468085106383,0.020280573345532175
GO:BP,GO:0023056,positive regulation of signaling,2.443850793949412e-26,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1779,188,71,20972,0.3776595744680851,0.039910061832490164,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']",25.611925312890413,0.3776595744680851,0.039910061832490164
GO:BP,GO:0010647,positive regulation of cell communication,2.443850793949412e-26,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1778,188,71,20972,0.3776595744680851,0.03993250843644545,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']",25.611925312890413,0.3776595744680851,0.03993250843644545
GO:BP,GO:0051049,regulation of transport,2.5610067362256972e-26,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1566,188,67,20972,0.35638297872340424,0.042784163473818644,query_1,"['GO:0006810', 'GO:0032879']",25.59158927920365,0.35638297872340424,0.042784163473818644
GO:BP,GO:0007154,cell communication,3.338620630072405e-26,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,188,133,20972,0.7074468085106383,0.02015762352227948,query_1,['GO:0009987'],25.47643292734473,0.7074468085106383,0.02015762352227948
GO:BP,GO:0010646,regulation of cell communication,3.8601909533314937e-26,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3480,188,97,20972,0.5159574468085106,0.027873563218390806,query_1,"['GO:0007154', 'GO:0050794']",25.41339121140934,0.5159574468085106,0.027873563218390806
GO:BP,GO:0042981,regulation of apoptotic process,3.953798820419501e-26,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1426,188,64,20972,0.3404255319148936,0.04488078541374474,query_1,"['GO:0006915', 'GO:0043067']",25.402985432494397,0.3404255319148936,0.04488078541374474
GO:BP,GO:0033993,response to lipid,4.558158965883881e-26,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",880,188,52,20972,0.2765957446808511,0.05909090909090909,query_1,['GO:0042221'],25.341210532862902,0.2765957446808511,0.05909090909090909
GO:BP,GO:0042127,regulation of cell population proliferation,4.558158965883881e-26,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1639,188,68,20972,0.3617021276595745,0.04148871262965223,query_1,"['GO:0008283', 'GO:0050794']",25.341210532862902,0.3617021276595745,0.04148871262965223
GO:BP,GO:0048513,animal organ development,8.509854484604873e-26,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3018,188,90,20972,0.4787234042553192,0.02982107355864811,query_1,['GO:0048856'],25.070077866128507,0.4787234042553192,0.02982107355864811
GO:BP,GO:0023051,regulation of signaling,1.493796103585411e-25,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3473,188,96,20972,0.5106382978723404,0.02764180823495537,query_1,"['GO:0023052', 'GO:0050789']",24.82570867770862,0.5106382978723404,0.02764180823495537
GO:BP,GO:0043067,regulation of programmed cell death,1.640200930881495e-25,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1467,188,64,20972,0.3404255319148936,0.043626448534423996,query_1,"['GO:0012501', 'GO:0050794']",24.78510294595973,0.3404255319148936,0.043626448534423996
GO:BP,GO:0048856,anatomical structure development,2.4724082952548885e-25,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5948,188,125,20972,0.6648936170212766,0.02101546738399462,query_1,['GO:0032502'],24.60687980796268,0.6648936170212766,0.02101546738399462
GO:BP,GO:0003008,system process,3.823022911229418e-25,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",2290,188,78,20972,0.4148936170212766,0.03406113537117904,query_1,['GO:0032501'],24.41759309926303,0.4148936170212766,0.03406113537117904
GO:BP,GO:0050793,regulation of developmental process,5.707700009825904e-25,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2431,188,80,20972,0.425531914893617,0.03290826820238585,query_1,"['GO:0032502', 'GO:0050789']",24.243538860978024,0.425531914893617,0.03290826820238585
GO:BP,GO:0008283,cell population proliferation,9.544438654096375e-25,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",1961,188,72,20972,0.3829787234042553,0.03671596124426313,query_1,['GO:0009987'],24.020249609082505,0.3829787234042553,0.03671596124426313
